orbit_lat,orbit_lon,orbit_alt_km,power_battery_pct,power_solar_efficiency,power_fuel_pct,thermal_temp_c,compute_cpu_pct,compute_mem_pct,comms_signal_dbm,comms_snr_db,comms_noise_floor_db,comms_frequency_mhz,comms_latency_ms,comms_packet_loss_pct,command_seq_delta,auth_token_is_valid,security_auth_failures_last_min,security_active_sessions,label
0.0028,0.0019,550.09,86.516,0.896,76.033,22.18,32.836,46.135,-83.784,14.189,-93.946,2245.486,292.083,0.272,1,1,0,1,normal
0.0028,0.0019,549.96,86.956,0.902,76.044,21.45,33.073,46.73,-84.929,13.437,-94.557,2245.48,289.504,0.294,1,1,0,1,normal
0.0029,0.0019,549.96,86.988,0.923,76.034,21.271,35.118,45.75,-83.308,13.21,-93.962,2245.494,308.355,0.291,1,1,0,1,normal
0.003,0.002,550.0,87.174,0.931,75.992,21.427,34.781,44.28,-82.531,13.72,-95.038,2245.484,316.833,0.309,1,1,0,1,normal
0.003,0.002,549.99,87.639,0.921,75.996,21.338,36.515,44.683,-84.308,13.269,-95.082,2245.523,316.269,0.213,1,1,0,1,normal
0.0031,0.0021,550.0,87.291,0.921,75.992,20.775,35.921,45.704,-84.537,12.894,-95.279,2245.521,326.6,0.459,1,1,0,1,normal
0.0031,0.0021,550.0,87.187,0.92,75.998,20.522,37.495,46.936,-84.912,13.049,-95.038,2245.515,335.415,0.493,1,1,0,1,normal
0.0032,0.0021,549.99,86.935,0.919,75.995,20.427,36.99,47.836,-84.928,12.284,-94.618,2245.529,337.034,0.298,1,1,0,1,normal
0.0032,0.0022,550.0,87.225,0.944,75.979,19.849,36.903,48.606,-85.983,12.793,-95.153,2245.516,342.513,0.249,1,1,0,1,normal
0.0033,0.0022,550.0,86.593,0.93,75.997,20.156,39.447,47.268,-85.065,13.661,-96.462,2245.485,340.866,0.18,1,1,0,1,normal
0.0034,0.0023,549.98,86.697,0.915,75.987,20.488,34.851,47.37,-83.329,13.356,-96.757,2245.543,331.596,0.253,1,1,0,1,normal
0.0034,0.0023,550.0,86.628,0.919,75.971,21.024,33.03,44.955,-82.983,14.024,-97.265,2245.528,317.231,0.218,1,1,0,1,normal
0.0035,0.0023,549.91,86.788,0.915,75.952,21.248,31.077,46.032,-82.596,14.752,-97.101,2245.52,319.199,0.259,1,1,0,1,normal
0.0035,0.0024,549.93,86.679,0.909,75.943,20.966,35.601,45.524,-83.154,15.339,-96.635,2245.505,318.512,0.359,1,1,0,1,normal
0.0036,0.0024,549.87,87.073,0.904,75.978,21.528,33.096,45.408,-84.408,14.956,-96.631,2245.497,327.884,0.418,1,1,0,1,normal
0.0036,0.0024,549.83,86.776,0.896,75.979,22.137,32.013,43.92,-83.796,13.309,-95.876,2245.499,338.675,0.187,1,1,0,1,normal
0.0037,0.0025,549.81,86.588,0.873,75.993,22.603,31.774,42.804,-83.728,13.633,-96.49,2245.485,336.993,0.182,1,1,0,1,normal
0.0038,0.0025,549.87,86.249,0.882,75.996,21.816,31.746,44.825,-82.629,14.043,-96.462,2245.483,341.693,0.274,1,1,0,1,normal
0.0038,0.0026,549.91,86.34,0.913,76.026,21.688,32.337,46.573,-84.437,15.054,-96.541,2245.496,333.936,0.264,1,1,0,1,normal
0.0039,0.0026,550.03,86.402,0.914,76.013,22.024,30.219,46.742,-83.906,15.43,-95.787,2245.501,330.865,0.347,1,1,0,1,normal
0.0039,0.0026,549.97,86.482,0.905,76.014,21.739,34.569,44.956,-83.662,14.686,-95.913,2245.492,324.176,0.341,1,1,0,1,normal
0.004,0.0027,550.04,86.823,0.904,76.002,21.039,31.868,45.804,-82.915,15.184,-95.865,2245.471,333.076,0.299,1,1,0,1,normal
0.004,0.0027,550.06,87.01,0.901,75.984,20.774,31.812,43.946,-81.966,14.936,-95.871,2245.461,327.546,0.459,1,1,0,1,normal
0.0041,0.0028,549.92,87.164,0.898,75.997,20.714,31.482,46.241,-81.348,15.084,-96.142,2245.46,320.441,0.291,1,1,0,1,normal
0.0042,0.0028,549.93,86.663,0.88,75.972,21.347,31.814,48.095,-83.42,15.351,-95.07,2245.488,321.869,0.312,1,1,0,1,normal
0.0042,0.0028,549.94,86.56,0.896,75.99,21.104,27.404,49.1,-82.789,14.687,-94.638,2245.525,320.364,0.322,1,1,0,1,normal
0.0043,0.0029,549.97,86.184,0.909,75.983,20.406,25.919,49.084,-82.039,14.652,-94.5,2245.529,307.052,0.166,1,1,0,1,normal
0.0043,0.0029,549.93,85.931,0.905,75.991,19.861,23.586,47.382,-80.777,15.4,-95.083,2245.548,298.347,0.524,1,1,0,1,normal
0.0044,0.0029,549.88,85.728,0.901,76.006,19.569,21.47,42.9,-81.37,16.185,-95.475,2245.54,308.532,0.365,1,1,0,1,normal
0.0045,0.003,549.93,85.852,0.898,76.01,20.124,19.852,45.157,-81.436,15.477,-95.685,2245.565,319.413,0.315,1,1,0,1,normal
0.0045,0.003,549.98,85.726,0.916,76.013,20.609,22.152,46.769,-82.294,15.117,-95.277,2245.556,329.297,0.29,1,1,0,1,normal
0.0046,0.0031,549.98,85.629,0.919,76.029,20.369,25.901,48.166,-81.732,14.206,-96.395,2245.56,323.076,0.197,1,1,0,1,normal
0.0047,0.0031,550.02,85.87,0.913,76.026,20.996,27.992,47.064,-79.638,14.689,-97.662,2245.546,334.179,0.131,1,1,0,1,normal
0.0047,0.0032,550.04,86.148,0.899,76.044,21.073,27.175,47.138,-80.952,14.819,-98.074,2245.539,318.724,0.296,1,1,0,1,normal
0.0048,0.0032,550.05,86.685,0.893,76.041,21.089,25.654,46.8,-79.655,14.902,-97.351,2245.528,322.265,0.034,1,1,0,1,normal
0.0048,0.0032,550.14,86.551,0.875,76.013,20.303,28.829,46.451,-79.826,14.099,-97.746,2245.525,332.673,0,1,1,0,1,normal
0.0049,0.0033,550.15,86.559,0.88,75.997,20.509,29.969,44.363,-79.983,12.615,-97.145,2245.507,325.386,0.042,1,1,0,1,normal
0.005,0.0033,550.07,86.276,0.884,75.977,20.966,30.37,42.294,-80.886,14.581,-97.762,2245.493,328.613,0.278,1,1,0,1,normal
0.005,0.0034,550.12,86.743,0.898,76.012,21.202,34.943,43.07,-81.401,15.059,-96.698,2245.53,333.907,0.2,1,1,0,1,normal
0.0051,0.0034,550.16,86.852,0.893,75.993,21.438,33.476,41.831,-82.161,16.648,-96.572,2245.545,330.747,0.256,1,1,0,1,normal
0.0051,0.0034,550.19,86.745,0.906,75.999,21.375,30.973,44.493,-82.445,16.815,-96.025,2245.552,324.022,0.222,1,1,0,1,normal
0.0052,0.0035,550.14,86.269,0.892,75.992,21.392,32.724,44.307,-81.269,16.44,-96.17,2245.526,317.24,0.61,1,1,0,1,normal
0.0052,0.0035,550.1,86.48,0.91,75.968,21.72,31.79,46.03,-82.376,16.428,-95.797,2245.524,319.201,0.142,1,1,0,1,normal
0.0053,0.0036,550.14,86.81,0.925,75.953,21.324,30.526,48.74,-82.355,16.855,-95.44,2245.508,316.697,0.403,1,1,0,1,normal
0.0054,0.0036,550.07,87.105,0.906,75.96,20.625,32.439,51.937,-83.931,16.201,-94.818,2245.507,322.201,0.32,1,1,0,1,normal
0.0054,0.0036,550.06,87.057,0.902,75.97,20.937,31.536,53.179,-82.613,16.67,-94.744,2245.493,333.117,0.319,1,1,0,1,normal
0.0055,0.0037,549.98,86.455,0.93,75.968,20.577,30.208,53.535,-83.207,16.989,-95.05,2245.487,340.267,0.408,1,1,0,1,normal
0.0055,0.0037,549.96,86.36,0.932,75.982,20.342,34.46,52.441,-82.343,16.455,-95.287,2245.502,330.623,0.46,1,1,0,1,normal
0.0056,0.0038,549.93,86.332,0.944,75.986,20.236,29.22,51.241,-82.146,15.307,-94.883,2245.472,324.905,0.627,1,1,0,1,normal
0.0057,0.0038,549.99,86.591,0.946,76.01,20.633,29.003,49.839,-81.65,15.11,-95.104,2245.484,320.471,0.79,1,1,0,1,normal
0.0057,0.0038,550.0,86.44,0.944,75.988,20.616,30.405,48.236,-82.323,14.865,-93.803,2245.498,322.531,0.812,1,1,0,1,normal
0.0058,0.0039,549.97,86.547,0.921,75.985,20.788,30.004,48.211,-81.784,15.791,-93.997,2245.464,322.261,0.819,1,1,0,1,normal
0.0058,0.0039,550.14,87.057,0.919,75.974,20.937,30.192,48.651,-81.862,15.877,-94.143,2245.442,308.654,0.737,1,1,0,1,normal
0.0059,0.0039,550.09,87.238,0.925,76.023,21.056,30.835,51.552,-81.4,14.762,-94.282,2245.445,304.944,0.585,1,1,0,1,normal
0.0059,0.004,550.09,86.836,0.933,76.013,21.615,29.541,48.418,-79.807,15.274,-94.192,2245.472,305.644,0.511,1,1,0,1,normal
0.006,0.004,550.06,86.937,0.923,76.033,21.682,31.02,49.104,-80.824,16.608,-94.04,2245.486,294.58,0.394,1,1,0,1,normal
0.0061,0.0041,549.99,86.853,0.922,76.046,22.132,28.279,47.66,-81.378,15.952,-94.18,2245.474,297.569,0.336,1,1,0,1,normal
0.0061,0.0041,550.01,87.107,0.926,76.045,21.76,29.736,47.009,-82.143,16.288,-93.838,2245.491,309.551,0.273,1,1,0,1,normal
0.0062,0.0041,550.02,87.034,0.912,76.073,22.225,31.791,48.754,-82.546,15.044,-92.839,2245.522,309.386,0.365,1,1,0,1,normal
0.0062,0.0042,549.99,87.031,0.904,76.067,21.972,32.265,49.591,-82.673,14.496,-93.408,2245.511,321.836,0.171,1,1,0,1,normal
0.0063,0.0042,549.89,87.305,0.914,76.054,21.781,33.43,52.235,-82.088,13.564,-94.172,2245.47,327.405,0.276,1,1,0,1,normal
0.0064,0.0043,549.96,87.464,0.924,76.048,21.649,33.78,50.559,-82.818,14.057,-94.616,2245.468,327.106,0.357,1,1,0,1,normal
0.0064,0.0043,550.0,87.19,0.901,76.048,21.799,34.349,50.221,-81.455,14.284,-94.642,2245.463,312.154,0.245,1,1,0,1,normal
0.0065,0.0043,549.96,87.182,0.895,76.034,21.974,31.991,49.48,-80.939,14.494,-94.907,2245.465,318.564,0.318,1,1,0,1,normal
0.0065,0.0044,549.94,86.988,0.893,76.037,22.272,31.245,50.09,-79.751,13.083,-94.357,2245.496,318.994,0.591,1,1,0,1,normal
0.0066,0.0044,549.96,86.586,0.905,76.033,22.044,31.75,49.15,-80.388,12.995,-94.582,2245.492,322.142,0.195,1,1,0,1,normal
0.0066,0.0045,549.95,86.614,0.918,76.008,21.729,29.107,51.431,-79.016,12.749,-93.965,2245.511,322.369,0.101,1,1,0,1,normal
0.0067,0.0045,549.97,86.463,0.904,75.974,21.475,31.158,51.939,-79.87,13.518,-94.121,2245.482,322.288,0.26,1,1,0,1,normal
0.0068,0.0045,549.96,86.479,0.905,75.983,21.713,32.804,52.495,-78.727,13.053,-94.094,2245.429,331.276,0.512,1,1,0,1,normal
0.0068,0.0046,550.0,87.016,0.886,75.984,21.813,35.831,51.377,-78.466,12.889,-94.174,2245.49,340.803,0.37,1,1,0,1,normal
0.0069,0.0046,549.99,86.771,0.893,75.954,21.463,34.018,49.505,-78.295,13.348,-94.343,2245.469,347.26,0.349,1,1,0,1,normal
0.0069,0.0046,549.98,87.001,0.883,75.957,21.708,31.873,48.65,-78.949,15.858,-95.094,2245.51,344.492,0.201,1,1,0,1,normal
0.007,0.0047,549.95,86.734,0.871,75.962,20.936,31.808,46.132,-80.138,15.72,-94.146,2245.491,353.252,0.218,1,1,0,1,normal
0.007,0.0047,549.96,86.947,0.875,75.984,21.325,35.175,47.157,-80.692,15.556,-93.543,2245.512,363.214,0.295,1,1,0,1,normal
0.0071,0.0048,550.01,87.012,0.882,75.965,21.643,36.408,48.336,-81.195,16.337,-93.631,2245.5,371.116,0.304,1,1,0,1,normal
0.0072,0.0048,550.01,87.331,0.87,75.968,21.523,39.288,48.234,-81.837,16.026,-94.082,2245.504,371.175,0.222,1,1,0,1,normal
0.0072,0.0048,550.07,87.259,0.868,75.983,21.9,37.352,49.29,-81.183,16.485,-94.651,2245.507,360.599,0.22,1,1,0,1,normal
0.0073,0.0049,550.02,87.396,0.89,75.985,22.197,33.293,48.689,-80.635,15.792,-95.344,2245.529,360.062,0.21,1,1,0,1,normal
0.0073,0.0049,550.06,87.09,0.891,75.992,22.079,33.439,46.952,-80.127,17.004,-95.217,2245.529,351.922,0.473,1,1,0,1,normal
0.0074,0.005,549.99,86.669,0.901,76.025,22.18,31.676,46.045,-80.147,15.284,-95.169,2245.495,345.956,0.304,1,1,0,1,normal
0.0075,0.005,550.0,86.589,0.886,76.02,21.791,30.639,46.188,-79.036,14.592,-94.233,2245.488,332.087,0.193,1,1,0,1,normal
0.0075,0.005,550.03,87.073,0.876,76.023,21.787,27.966,43.518,-79.427,15.668,-94.44,2245.445,322.574,0.11,1,1,0,1,normal
0.0076,0.0051,549.93,87.292,0.872,76.005,21.957,29.76,43.774,-79.663,16.283,-95.276,2245.433,315.595,0,1,1,0,1,normal
0.0076,0.0051,549.96,87.31,0.86,76.021,22.371,32.056,44.308,-80.073,14.415,-94.912,2245.426,310.628,0.126,1,1,0,1,normal
0.0077,0.0052,549.94,87.168,0.873,76.045,21.998,35.078,45.305,-77.71,13.072,-94.168,2245.459,320.893,0,1,1,0,1,normal
0.0077,0.0052,550.01,86.805,0.871,76.029,21.39,35.202,43.74,-79.067,12.516,-94.403,2245.461,312.078,0,1,1,0,1,normal
0.0078,0.0052,549.99,86.821,0.889,76.067,21.198,37.662,44.225,-79.166,13.181,-94.693,2245.47,319.421,0.244,1,1,0,1,normal
0.0079,0.0053,549.94,86.458,0.885,76.045,21.494,37.841,44.815,-80.559,13.599,-95.099,2245.474,322.162,0.356,1,1,0,1,normal
0.0079,0.0053,549.89,86.905,0.885,76.046,21.355,37.903,45.835,-80.287,14.427,-95.505,2245.505,337.962,0.443,1,1,0,1,normal
0.008,0.0053,550.0,86.82,0.882,76.06,20.431,40.51,44.309,-79.912,15.228,-95.224,2245.51,326.635,0.543,1,1,0,1,normal
0.008,0.0054,550.04,86.726,0.883,76.047,20.429,39.33,46.348,-80.447,15.353,-94.357,2245.5,325.95,0.504,1,1,0,1,normal
0.0081,0.0054,550.02,87.006,0.89,76.031,21.03,36.719,48.272,-81.671,14.699,-95.025,2245.481,323.736,0.263,1,1,0,1,normal
0.0082,0.0055,550.01,87.232,0.902,76.006,20.944,37.645,47.702,-81.42,15.04,-94.709,2245.512,337.702,0.498,1,1,0,1,normal
0.0082,0.0055,550.05,87.224,0.891,75.982,20.601,38.257,44.551,-81.015,13.999,-94.737,2245.521,327.577,0.397,1,1,0,1,normal
0.0083,0.0055,550.0,87.692,0.889,75.948,20.089,37.959,46.019,-81.663,14.09,-96.027,2245.524,335.68,0.384,1,1,0,1,normal
0.0083,0.0056,549.95,87.469,0.891,75.944,19.933,37.076,47.129,-81.799,14.423,-96.489,2245.54,335.67,0.256,1,1,0,1,normal
0.0084,0.0056,549.94,87.172,0.911,75.926,20.119,36.733,50.026,-81.756,15.557,-95.971,2245.516,339.239,0.331,1,1,0,1,normal
0.0084,0.0057,549.9,87.198,0.903,75.969,20.493,38.725,50.909,-81.834,16.757,-95.174,2245.485,332.699,0.443,1,1,0,1,normal
0.0085,0.0057,549.87,87.362,0.922,75.973,20.663,42.225,48.642,-82.117,14.628,-95.173,2245.499,342.521,0.451,1,1,0,1,normal
0.0086,0.0057,549.86,87.367,0.925,75.979,19.947,38.591,49.14,-81.939,14.512,-95.177,2245.5,322.091,0.362,1,1,0,1,normal
0.0086,0.0058,549.85,87.294,0.914,75.955,19.734,33.665,49.325,-81.622,15.159,-95.274,2245.519,325.837,0.545,1,1,0,1,normal
0.0087,0.0058,549.94,87.213,0.92,75.941,19.515,32.188,49.544,-81.337,15.063,-95.188,2245.572,314.02,0.36,1,1,0,1,normal
0.0087,0.0059,549.96,87.406,0.909,75.952,19.363,33.27,47.93,-79.74,14.385,-94.821,2245.554,309.086,0.339,1,1,0,1,normal
0.0088,0.0059,550.07,86.554,0.917,75.965,20.292,33.596,45.281,-80.279,13.591,-95.548,2245.551,301.984,0.487,1,1,0,1,normal
0.0088,0.0059,550.05,87.012,0.933,75.983,20.0,29.835,45.542,-80.595,14.584,-95.289,2245.552,308.384,0.383,1,1,0,1,normal
0.0089,0.006,550.0,87.082,0.952,75.983,20.434,32.578,43.805,-79.653,15.402,-96.134,2245.518,316.414,0.264,1,1,0,1,normal
0.009,0.006,550.03,86.442,0.949,75.99,21.474,30.827,43.753,-80.761,15.065,-95.631,2245.511,327.509,0.24,1,1,0,1,normal
0.009,0.006,550.06,86.079,0.947,75.94,21.505,35.29,44.271,-82.38,14.899,-95.499,2245.499,321.615,0.222,1,1,0,1,normal
0.0091,0.0061,550.03,86.171,0.949,75.928,21.571,34.236,45.596,-81.993,14.69,-95.516,2245.494,323.196,0.411,1,1,0,1,normal
0.0091,0.0061,550.0,86.829,0.94,75.924,21.456,33.288,46.826,-82.028,14.232,-95.048,2245.518,327.041,0.382,1,1,0,1,normal
0.0092,0.0062,549.95,87.016,0.927,75.96,21.209,33.052,47.485,-80.778,13.296,-95.575,2245.514,333.011,0.339,1,1,0,1,normal
0.0092,0.0062,549.86,87.112,0.924,75.953,20.954,32.011,48.494,-81.52,14.016,-95.08,2245.474,341.661,0.411,1,1,0,1,normal
0.0093,0.0062,549.83,87.04,0.938,75.951,20.204,31.415,47.115,-81.556,14.813,-94.868,2245.457,333.391,0.628,1,1,0,1,normal
0.0094,0.0063,549.81,86.753,0.951,75.961,20.168,29.035,47.925,-81.344,14.732,-95.591,2245.453,326.985,0.586,1,1,0,1,normal
0.0094,0.0063,549.94,87.042,0.943,75.964,19.71,32.071,43.755,-81.041,14.2,-95.029,2245.446,326.539,0.712,1,1,0,1,normal
0.0095,0.0064,549.93,87.007,0.949,76.01,20.316,35.017,43.457,-81.489,15.008,-95.376,2245.449,317.041,0.505,1,1,0,1,normal
0.0095,0.0064,549.91,86.954,0.956,75.986,19.905,34.923,43.978,-80.449,14.885,-95.272,2245.466,323.986,0.656,1,1,0,1,normal
0.0096,0.0064,549.98,87.396,0.964,75.987,20.217,35.125,42.212,-82.355,13.413,-95.255,2245.475,322.865,0.768,1,1,0,1,normal
0.0097,0.0065,550.03,86.819,0.954,76.006,19.942,34.536,41.369,-82.062,13.777,-95.244,2245.462,315.901,0.432,1,1,0,1,normal
0.0097,0.0065,550.05,86.855,0.946,76.01,20.714,32.067,40.989,-81.971,14.914,-94.789,2245.46,314.021,0.631,1,1,0,1,normal
0.0098,0.0065,550.04,86.902,0.944,76.04,20.465,31.027,41.283,-80.973,15.271,-95.231,2245.459,318.773,0.412,1,1,0,1,normal
0.0098,0.0066,550.04,87.311,0.944,76.034,20.33,32.332,43.727,-80.605,14.346,-95.502,2245.473,322.679,0.228,1,1,0,1,normal
0.0099,0.0066,549.92,87.306,0.932,76.007,20.039,33.738,45.583,-80.851,13.828,-95.801,2245.486,316.286,0.377,1,1,0,1,normal
0.0099,0.0067,549.94,87.881,0.92,75.995,20.933,30.532,45.32,-81.859,13.939,-95.875,2245.503,321.341,0.249,1,1,0,1,normal
0.01,0.0067,549.95,87.82,0.917,75.987,20.669,27.542,41.913,-81.226,14.755,-96.376,2245.498,319.808,0.467,1,1,0,1,normal
0.0101,0.0067,549.99,87.305,0.925,75.998,20.447,27.742,42.033,-82.418,14.58,-95.702,2245.521,317.913,0.605,1,1,0,1,normal
0.0101,0.0068,549.99,87.024,0.915,75.979,19.955,27.454,43.388,-81.072,14.248,-95.386,2245.477,308.013,0.513,1,1,0,1,normal
0.0102,0.0068,549.94,87.23,0.929,75.989,19.775,31.867,40.909,-81.294,14.747,-95.279,2245.473,310.485,0.445,1,1,0,1,normal
0.0102,0.0069,549.95,87.741,0.921,75.987,19.808,27.731,36.378,-80.085,14.304,-95.898,2245.493,311.978,0.377,1,1,0,1,normal
0.0103,0.0069,549.91,87.867,0.919,75.993,19.972,29.294,37.067,-79.931,14.095,-95.677,2245.479,331.995,0.277,1,1,0,1,normal
0.0103,0.0069,549.92,87.435,0.931,76.044,20.007,28.846,41.327,-81.182,14.414,-95.948,2245.485,322.995,0.386,1,1,0,1,normal
0.0104,0.007,549.88,88.074,0.919,76.034,20.17,32.41,40.925,-79.897,15.685,-95.672,2245.492,317.344,0.537,1,1,0,1,normal
0.0105,0.007,549.9,87.492,0.921,76.032,20.223,32.063,40.184,-79.421,15.413,-95.367,2245.48,302.334,0.511,1,1,0,1,normal
0.0105,0.0071,549.91,86.826,0.898,76.04,20.747,31.11,40.209,-80.278,15.499,-94.775,2245.464,302.992,0.626,1,1,0,1,normal
0.0106,0.0071,549.9,86.916,0.896,76.067,21.217,31.29,39.701,-79.142,16.724,-94.273,2245.465,319.968,0.467,1,1,0,1,normal
0.0107,0.0071,549.92,87.026,0.889,76.045,21.376,32.404,40.686,-79.552,16.116,-93.886,2245.464,328.338,0.602,1,1,0,1,normal
0.0107,0.0072,549.97,87.536,0.903,76.015,20.721,32.093,40.726,-79.864,15.645,-94.774,2245.468,327.889,0.378,1,1,0,1,normal
0.0108,0.0072,550.1,87.203,0.907,76.035,20.462,34.008,42.732,-80.456,15.885,-94.988,2245.44,327.203,0.512,1,1,0,1,normal
0.0108,0.0073,550.13,86.793,0.913,76.035,20.301,35.14,46.927,-78.939,15.847,-95.56,2245.436,323.072,0.353,1,1,0,1,normal
